FtcAuto.startMode_INFO [0.004717125] ***** Starting autonomous: 20260118@123120 *****
FtcAuto.startMode_INFO [0.006388959] <Info name="MatchInfo" date="Sun Jan 18 12:29:53 PST 2026" type="QUALIFICATION" number=2 />
FtcAuto.startMode_INFO [0.007915542] <Info name="AutoChoices" startDelay=0 alliance="RED_ALLIANCE" startPos="GOAL_ZONE" strategy="DECODE_AUTO" classifierVision="NO" loadingPickup="NO" openGate="YES" spikeMarkCount=2 shootDelay1=0 shootDelay2=0 shootDelay3=0 parkOption="CLASSIFIER_PARK" xTarget=4.0 yTarget=4.0 turnTarget=90 driveTime=5 drivePower=0.5 />
FtcAuto.startMode_INFO [0.008781209] Obelisk AprilTag 21: [Green, Purple, Purple]
TaskAutoShoot.autoTask_INFO [2.024719578] <Event name="StateInfo" time="2.02439087" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.025743036] <Event name="StateInfo" time="2.025426286" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.026394037] <Event name="StateInfo" time="2.026072328" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.027439953] <Event name="StateInfo" time="2.027134578" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.028138787] <Event name="StateInfo" time="2.027815912" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.02945187] <Event name="StateInfo" time="2.029024578" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.03020087] <Event name="StateInfo" time="2.029752579" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.031496162] <Event name="StateInfo" time="2.03116687" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.032160579] <Event name="StateInfo" time="2.031859579" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.033002912] <Event name="StateInfo" time="2.032711829" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.033690954] <Event name="StateInfo" time="2.033290496" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.035045454] <Event name="StateInfo" time="2.034704496" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.035707829] <Event name="StateInfo" time="2.035349954" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.036766871] <Event name="StateInfo" time="2.036434663" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.037467163] <Event name="StateInfo" time="2.037117454" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.038696829] <Event name="StateInfo" time="2.038383288" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.039390996] <Event name="StateInfo" time="2.039033121" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.041165788] <Event name="StateInfo" time="2.040422038" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.045424705] <Event name="StateInfo" time="2.042288996" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.04711608] <Event name="StateInfo" time="2.046501247" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.048129622] <Event name="StateInfo" time="2.047600247" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.049495206] <Event name="StateInfo" time="2.049056539" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.050466747] <Event name="StateInfo" time="2.050021664" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.052369872] <Event name="StateInfo" time="2.051856831" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.053037206] <Event name="StateInfo" time="2.052710831" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.053943706] <Event name="StateInfo" time="2.053638914" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.054563206] <Event name="StateInfo" time="2.054231581" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.055510539] <Event name="StateInfo" time="2.055196414" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.056134706] <Event name="StateInfo" time="2.055818248" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.057090498] <Event name="StateInfo" time="2.056769956" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.057772123] <Event name="StateInfo" time="2.057396165" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.05873929] <Event name="StateInfo" time="2.058422248" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.059374832] <Event name="StateInfo" time="2.05905429" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.06052604] <Event name="StateInfo" time="2.06013229" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.061346498] <Event name="StateInfo" time="2.060942248" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.062392123] <Event name="StateInfo" time="2.062060207" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.063028832] <Event name="StateInfo" time="2.062709457" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.063953124] <Event name="StateInfo" time="2.063643082" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.064645832] <Event name="StateInfo" time="2.064271915" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.065928291] <Event name="StateInfo" time="2.06558179" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.066667082] <Event name="StateInfo" time="2.066296666" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [2.067787374] <Event name="StateInfo" time="2.067389832" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
